MC,MarketName,YearQuarter,Stock_sf,Completions_sf,Stock_Under_Construction_sf,under_construction_as_a_percentage_of_Stock
ATLANT,Atlanta,2000.1,4394,4394,4098,1.031
ATLANT,Atlanta,2000.2,405475,3616,6109,1.523
ATLANT,Atlanta,2000.3,413860,4769,5352,1.319
ATLANT,Atlanta,2000.4,425451,6822,7892,1.912
ATLANT,Atlanta,2001.1,436468,4195,8298,1.991
ATLANT,Atlanta,2001.2,444728,4065,10627,2.525
ATLANT,Atlanta,2001.3,456801,8008,7008,1.634
ATLANT,Atlanta,2001.4,469393,4584,5734,1.323
ATLANT,Atlanta,2002.1,475911,1934,4440,1.02
ATLANT,Atlanta,2002.2,479963,2118,4580,1.047
ATLANT,Atlanta,2002.3,485242,3161,3284,0.745
ATLANT,Atlanta,2002.4,491767,3364,1293,0.291
ATLANT,Atlanta,2003.1,496034,903,1483,0.333
ATLANT,Atlanta,2003.2,499006,2069,2472,0.553
ATLANT,Atlanta,2003.3,502491,1416,825,0.184
ATLANT,Atlanta,2003.4,505353,1446,985,0.219
ATLANT,Atlanta,2004.1,509996,3197,2359,0.521
ATLANT,Atlanta,2004.2,514199,1006,3999,0.881
ATLANT,Atlanta,2004.3,518023,2818,5261,1.151
ATLANT,Atlanta,2004.4,523148,2307,5675,1.236
ATLANT,Atlanta,2005.1,528034,2579,7646,1.656
ATLANT,Atlanta,2005.2,534091,3478,8165,1.755
ATLANT,Atlanta,2005.3,541417,3848,10924,2.328
ATLANT,Atlanta,2005.4,547818,2553,16193,3.433
ATLANT,Atlanta,2006.1,553590,3219,14488,3.05
ATLANT,Atlanta,2006.2,563922,7113,11049,2.292
ATLANT,Atlanta,2006.3,576850,5815,8988,1.842
ATLANT,Atlanta,2006.4,589763,7098,5732,1.158
ATLANT,Atlanta,2007.1,599071,2210,5503,1.107
ATLANT,Atlanta,2007.2,603865,2584,6179,1.236
ATLANT,Atlanta,2007.3,611394,4945,4516,0.895
ATLANT,Atlanta,2007.4,619078,2739,4639,0.914
ATLANT,Atlanta,2008.1,623061,1244,5255,1.033
ATLANT,Atlanta,2008.2,626939,2634,3647,0.713
ATLANT,Atlanta,2008.3,631539,1966,3088,0.602
ATLANT,Atlanta,2008.4,637792,4287,1669,0.322
ATLANT,Atlanta,2009.1,643935,1856,62,0.012
ATLANT,Atlanta,2009.2,647309,1518,62,0.012
ATLANT,Atlanta,2009.3,649227,400,20,0.004
ATLANT,Atlanta,2009.4,649932,305,18,0.003
ATLANT,Atlanta,2010.1,650237,0,178,0.034
ATLANT,Atlanta,2010.2,650337,100,1158,0.222
ATLANT,Atlanta,2010.3,651962,1525,1140,0.218
ATLANT,Atlanta,2010.4,654956,1469,0,0
ATLANT,Atlanta,2011.1,657008,583,470,0.089
ATLANT,Atlanta,2011.2,657591,0,674,0.128
ATLANT,Atlanta,2011.3,658073,482,412,0.078
ATLANT,Atlanta,2011.4,658569,14,77,0.015
ATLANT,Atlanta,2012.1,658922,339,900,0.171
ATLANT,Atlanta,2012.2,659261,0,1553,0.295
ATLANT,Atlanta,2012.3,660719,1458,3361,0.637
ATLANT,Atlanta,2012.4,662734,557,2837,0.537
ATLANT,Atlanta,2013.1,663311,20,3948,0.747
ATLANT,Atlanta,2013.2,666811,3480,641,0.121
ATLANT,Atlanta,2013.3,670517,226,430,0.081
ATLANT,Atlanta,2013.4,671163,420,1273,0.239
ATLANT,Atlanta,2014.1,672058,475,3615,0.678
ATLANT,Atlanta,2014.2,672997,464,3644,0.683
ATLANT,Atlanta,2014.3,673927,466,11430,2.142
ATLANT,Atlanta,2014.4,677258,2865,15520,2.892
ATLANT,Atlanta,2015.1,681132,1009,16295,3.031
ATLANT,Atlanta,2015.2,685945,3804,15420,2.848
ATLANT,Atlanta,2015.3,694774,5025,13492,2.469
ATLANT,Atlanta,2015.4,701635,1836,14891,2.716
ATLANT,Atlanta,2016.1,710045,6574,13248,2.388
ATLANT,Atlanta,2016.2,720520,3901,14609,2.615
ATLANT,Atlanta,2016.3,726062,1641,16723,2.984
ATLANT,Atlanta,2016.4,735160,7457,13156,2.317
ATLANT,Atlanta,2017.1,746741,4124,16076,2.811
ATLANT,Atlanta,2017.2,755227,4362,18318,3.178
ATLANT,Atlanta,2017.3,767154,7565,18121,3.103
ATLANT,Atlanta,2017.4,777014,2295,19944,3.402
ATLANT,Atlanta,2018.1,786327,7018,17011,2.868
ATLANT,Atlanta,2018.2,795637,2292,18467,3.101
ATLANT,Atlanta,2018.3,802713,4784,21798,3.631
ATLANT,Atlanta,2018.4,813048,5551,18981,3.133
ATLANT,Atlanta,2019.1,823268,4669,23727,3.886
ATLANT,Atlanta,2019.2,833590,5653,19441,3.155
ATLANT,Atlanta,2019.3,846146,6903,17247,2.768
ATLANT,Atlanta,2019.4,857025,3976,19599,3.126
ATLANT,Atlanta,2020.1,866866,5865,19977,3.156
ATLANT,Atlanta,2020.2,876899,4168,18301,2.873
ATLANT,Atlanta,2020.3,885899,4832,21325,3.322
ATLANT,Atlanta,2020.4,897603,6872,19397,2.99
ATLANT,Atlanta,2021.1,910646,6171,22418,3.423
ATLANT,Atlanta,2021.2,920621,3804,25764,3.911
ATLANT,Atlanta,2021.3,926450,2025,33238,5.03
ATLANT,Atlanta,2021.4,937884,9409,35507,5.298
ATLANT,Atlanta,2022.1,952997,5704,36785,5.442
ATLANT,Atlanta,2022.2,962427,3726,46213,6.8
ATLANT,Atlanta,2022.3,974196,8043,41487,6.033
ATLANT,Atlanta,2022.4,991284,9045,36975,5.307
ATLANT,Atlanta,2023.1,1006869,6540,31999,4.55
ATLANT,Atlanta,2023.2,1018206,4797,32487,4.588
ATLANT,Atlanta,2023.3,1032643,9640,25474,3.55
ATLANT,Atlanta,2023.4,1054952,12669,21891,2.997
